M,N,z_open,final_cpnl,sharpe_ratio,total_signals,max_position
12,40,0.8,5.549444698793309,0.513743382591264,9539,37.0
12,40,1.0,3.9693137980801185,0.42043384762530434,7806,33.0
12,44,0.2,9.158345499993116,0.6614188756307663,14540,44.0
12,44,0.4,8.707334508631517,0.6597089919341715,12964,41.0
12,44,0.6,9.762193774648843,0.7910786475639364,11255,39.0
12,44,0.8,8.81935921130323,0.7716426754648243,9539,36.0
12,44,1.0,7.07893091066289,0.7098165199770579,7806,33.0
12,48,0.2,9.596162316440926,0.6591021490221911,14540,48.0
12,48,0.4,8.786242408098357,0.6330525091229563,12964,45.0
12,48,0.6,9.740067831497155,0.7515001796200159,11255,43.0
12,48,0.8,8.931800189796586,0.7445126287138761,9539,38.0
12,48,1.0,7.0775571973580345,0.6762714321348365,7806,34.0
12,52,0.2,9.79506438565246,0.6430999374045945,14540,52.0
12,52,0.4,9.565465975089216,0.6586985465659101,12964,49.0
12,52,0.6,10.166841520466361,0.7493624666503217,11255,47.0
12,52,0.8,9.85389358731793,0.7843501939401789,9539,42.0
12,52,1.0,8.089178866764836,0.7375636450869913,7806,38.0
12,56,0.2,12.057006831786818,0.7602311315531234,14540,56.0
12,56,0.4,11.466303522956604,0.7587987829792737,12964,53.0
12,56,0.6,12.130224657133725,0.8562116622653531,11255,50.0
12,56,0.8,12.130515198688732,0.9237902138952401,9539,44.0
12,56,1.0,10.352571276410051,0.9019689868045662,7806,39.0
12,60,0.2,14.840916125465892,0.9049484837005212,14540,56.0
12,60,0.4,14.095044176832026,0.9035431553073072,12964,54.0
12,60,0.6,14.31540137268919,0.977354367159593,11255,52.0
12,60,0.8,13.971503628441676,1.0277856695215857,9539,46.0
12,60,1.0,11.742876240762955,0.9896699292544756,7806,40.0
12,64,0.2,13.949982543236485,0.8208059465487011,14540,54.0
12,64,0.4,12.396813442082047,0.7677753221822085,12964,52.0
12,64,0.6,13.613485683512549,0.8958723666939461,11255,50.0
12,64,0.8,13.314670295172656,0.9438022560329618,9539,44.0
12,64,1.0,11.176236337401809,0.910582776848601,7806,40.0
